sentiment,content
worry,ohh know church got mcfly
neutral,ive organised day indulgence amp luxury pamper day fingers crossed likes surprise
worry,lookin work online watchin shaycarls latest vlog entry youtube textin lady friend beds calling
worry,3 way
neutral,wonder running son
neutral,answering email questions art photography yesi actually reply entry deadline 22nd
neutral,source
sadness,wellgotta grab hour half sleep girls schoolgawd life multitaskin nightmornin
love,just kind mood reason lol ill try mushy behave
neutral,godawful hangover today worth tho
happiness,wolverine great
neutral,congrats youre person ive heardread say today
fun,thanks follow tove
happiness,morning kik enjoy breakfast
surprise,didnt need shipping forecast inland
love,thanks andrew published looking forward
neutral,legal studieslaw students twitter love couple references cases inolving bias juries jury nullification
sadness,school today gd dont mates n millsy x
worry,im having elevated error rates streamkeys connection problems server migration isnt easy huh
happiness,thank
worry,remind amp pic blooming clematis wind storm tomorrow
neutral,vote goal 10 help win goal month
sadness,way inconvenient
happiness,way home school lol car tired
love,gonna knit felted heart toy mum mothers day shes great really loves luv ya mummy
relief,exams oh nervewracking experience passed
relief,humble best going works paintball day soon fuel strips doubt
sadness,sorry disappoint big nascar fan im allaround decent redneck
worry,work today dont mind
love,yah feeling better beaut day sophie razzing skateboard park 3 yrs charli happy school
neutral,im msn
relief,hehehe hello good twitter
sadness,tired friendster account
happiness,yaaaawwwwnnnn thx bank holiday lets today prepared
neutral,old blue g4 slow code nowadays laptop ive borrowed work lets lounge browse
happiness,best job world amp yes australia
happiness,shopping grandparents dinner bf woop
happiness,new project going incredibly im tired today think mondays permanently
neutral,thanks tweetstats confirmed long suspected twitter keeping way late ht
happiness,big shout home girls know
love,like
fun,hahaha yes yes course look jack need time d
relief,weirdos
happiness,11 days till county raly 2 tak 3 14 took
worry,feeling considerably better 13 hours sleep right
worry,sexy ass sleep foo weekend mami
surprise,oh dubbed breesaholic insomniac 2 feels special oh add angel drink post
neutral,yeah im okayy lots happening special moment xx
neutral,oki doki laterrrs
love,hello lovely followers love peace house lolz just need weather
fun,haha good slightly geeky funny x
neutral,goes according plan cse rfid guinea pigs bitchin ff extension play end week
worry,english p1 refuse countdown makes sad shower nap
neutral,agree
neutral,lying sofa chillingdont intend moving time soon
neutral,tweets postcards butless easily retrievable archived email saved machine
neutral,forget edinburgh check edinburghacorguk
worry,good yeah fine thanks just dreading history tomorrow mood hyperactive 20 year olds lmao
neutral,jip good
fun,yogurting home lady monas fone w song yoplait lookin forward hrs w tmorrow amp rehearsals gnight
happiness,excited summer steve winwood eric clapton eagles death metal ahhh dead weather
love,kiss kiss stu deezy bed sweet dreams maam hehe xxoxo
neutral,apple fritters like perfect fooddont think
sadness,eggs today shame looking forward egg bacon sandwich
happiness,just finished recording improvisation second instrument latest podcast happy nearly mixing time
neutral,bank holiday today
surprise,trying save money ipod touch
happiness,coming sydney cool meet id love meet youre favourite comedian
neutral,bank holiday office
love,haha ok glad everythings good happy woohoo
neutral,does know google chrome passwords firefox
relief,working auditing away time make hard decisions happy
neutral,mini collection star wars figurines office whats
neutral,song axed ombra mai fï½ ï½ largo ï½ hï½ndel
neutral,office bit strange short hollidays mbp dead px revamped 4gb ram monday bit nicer
happiness,houstatlantavegas sooner later nov 18th night successful 2837 hours heavennn
love,right justintv channel 10 weeks gf newborn wwwjustintvkubbur20
sadness,aquired just new oppertunity sorry dont support mac wont tell
happiness,watched coraline night really good animation excellent creativity inspirational
happiness,didnt bitten rabies infested person night yay gonna scare rachel quarantine tonight shall fun
neutral,tweet tomorrow anothe busy day goodnight hooker chickie lol
neutral,twitters seat exam hall starts 15mins pray seat 299 mpsh1a blessed oh wisdom flow whee
fun,dont mindas long im superman theres good musicall sweet
happiness,ive got 3 new frensfrm germanymexico n france havin dinner 2gather 2nite
neutral,morning world healthyliving update weight morning 821kg 12st 12lbs going right direction
happiness,deplurk buhbyeee
surprise,place boring ugggggg
love,wowhow sweet
happiness,home disneybest time long timehowl moon tonight gba bhb tuesday oh drummer boy niiight
worry,practicing 40 minutes dont think 40 minutes suffice 7days worth later
surprise,fangtasia hit shot anytime quotroads going dont need roadsquot love
happiness,happy star wars day 4th
neutral,disbelief quite happy evolution beats alternatives posited
neutral,yup studying im trying trying let stuff read enter brain permanently
neutral,monday good
neutral,actually went got drivers license wouldnt worry bus shit haha
love,oh musicmonday love storyviva la vida mix
neutral,postieeee
neutral,dreamwidth spare invite code lying spare pretty
neutral,youre welcome
neutral,webmail friend
neutral,later
love,loved head heels fave movies looked stunning night
neutral,gnight shar lt ltvegagt gt
neutral,4th happy star wars day
neutral,8th subjects remaining power generation operation control amp distribution automation
happiness,daughters kindergarden
relief,just relax like translated swedish just got look comment
happiness,hope know woo haha 2 times exciting lol
happiness,agree redesigned q13 site looks great computer amp phone
neutral,bed 2 girls
neutral,like coldplay just said fav cds r fav bands
neutral,xxx
neutral,idiotattove_liden thnks follow tove ddoodm idiot
happiness,thanks thanks
neutral,united states liked eleminis
neutral,wants know hes watch cypher
neutral,shower day
love,going sleep baby
love,dont think twice creative blog cool stuff thanks
fun,brain gonna explode minute numbers cliiimb j im climbing mt numbers
surprise,having write real looking paper letter long time sad really
happiness,new golf vi tsi 160hp fast
neutral,digiqom welcomed new team members company today
fun,youre getting new fans time wasnt november
worry,little louisa number 3 trying number xx
neutral,yes secure masculinity
neutral,going cig head bed night tweeters
neutral,4th
relief,twittering like boss thanks savvv
happiness,quotleave piecesquot wreckers hmm
neutral,actually ive holed quite nicely hours times regret having married gotten cat
hate,im goodmaking list things todayi week daysi dont want doing chores things
neutral,weekends like end quotone weeksquot
neutral,yes maybe today write
worry,hahah sowwie hun whats thoe
neutral,wishing babe wed ball
neutral,make pledge youre
fun,aha bet cuteshould wear nu time cn mineu cn
worry,hope good flight
fun,thats golf buggy lol australia zoo buggy staff use certain patrons life
worry,yeah try good night amp visit chiro tmrw
happiness,oh s birthday happy birthday andre michelle
neutral,im new twitter amp im trying work use program
happiness,yeah quick im using 5mm addis bought sat makes smoother
relief,hello nikki just ended exams 2 hours ago abt u
neutral,watching neighbours
neutral,oh just referring lil exchange lj regards twitter archive postings
neutral,having pretty good time work talking shit gymnastics gils
neutral,right
sadness,btw bot
neutral,break leg dont real just saying p quot good luckquot
worry,hopes bestie today
neutral,wwwtwitpiccom log twitter details add pics
happiness,happy star wars day fourth
love,going bed beating snot hubby w texas hold em
fun,france friday coming working
love,auntie queensland stay night yaya
happiness,hehe sta se malce preve vï½ivela v verajï½nji dark night koncert ob takem lineupu
relief,bank holiday bliss jeremy kyle bothering sky
neutral,sweet dreams
neutral,actually really liked merlin night parts bit eh chick singing like whoa
